Формат,Brand,SKU,Категория,Месяц,Кол-во уп,Сумма,Кол-во магазинов
HM,ASOL,WTQHM12145,Зубная паста,44,3,809.97,2
HM,ASOL,WTQHM12145,Зубная паста,45,114,21990.41000000001,51
HM,ASOL,WTQHM12145,Зубная паста,46,558,95381.57,76
HM,ASOL,WTQHM12145,Зубная паста,47,486,74903.97000000003,76
HM,ASOL,WTQHM12145,Зубная паста,48,476,69230.22000000003,66
HM,ASOL,WTQHM12145,Зубная паста,49,306,46841.77000000001,65
HM,ASOL,WTQHM12145,Зубная паста,50,242,39738.18,45
HM,ASOL,WTQHM12145,Зубная паста,51,171,31047.649999999994,39
HM,ASOL,WTQHM12145,Зубная паста,52,188,38104.140000000014,56
HM,ASOL,WTQHM12145,Зубная паста,53,304,56957.88,57
HM,ASOL,WTQHM12145,Зубная паста,54,195,41277.38000000002,49
HM,ASOL,UYUSK7646,Зубная паста,44,1,252.73,1
HM,ASOL,UYUSK7646,Зубная паста,45,42,10161.8,19
HM,ASOL,UYUSK7646,Зубная паста,46,91,18152.320000000007,23
HM,ASOL,UYUSK7646,Зубная паста,47,247,36341.930000000015,28
HM,ASOL,UYUSK7646,Зубная паста,48,69,13824.39,22
HM,ASOL,UYUSK7646,Зубная паста,49,55,12816.64,26
HM,ASOL,UYUSK7646,Зубная паста,50,65,15663.4,26
HM,ASOL,UYUSK7646,Зубная паста,51,78,18717.9,24
HM,ASOL,UYUSK7646,Зубная паста,52,254,49099.9,50
HM,ASOL,UYUSK7646,Зубная паста,53,525,98742.63999999996,62
HM,ASOL,UYUSK7646,Зубная паста,54,517,85327.7,56
HM,ASOL,HEMUA2673,Зубная паста,45,59,20723.58,18
HM,ASOL,HEMUA2673,Зубная паста,46,102,33909.02,30
HM,ASOL,HEMUA2673,Зубная паста,47,131,34587.470000000016,25
HM,ASOL,HEMUA2673,Зубная паста,48,110,28713.64000000001,29
HM,ASOL,HEMUA2673,Зубная паста,49,55,17138.59,24
HM,ASOL,HEMUA2673,Зубная паста,50,41,13208.83,19
HM,ASOL,HEMUA2673,Зубная паста,51,64,21996.12,23
HM,ASOL,HEMUA2673,Зубная паста,52,166,45680.32000000001,44
HM,ASOL,HEMUA2673,Зубная паста,53,234,60532.71999999999,55
HM,ASOL,HEMUA2673,Зубная паста,54,303,63030.34999999996,52
HM,IVDU,DRTZC38782,Зубная паста,5,2294,107559.31,88
HM,IVDU,DRTZC38782,Зубная паста,6,2034,93846.49,86
HM,IVDU,DRTZC38782,Зубная паста,7,2591,117512.9,88
HM,IVDU,DRTZC38782,Зубная паста,8,1959,89941.26,89
HM,IVDU,DRTZC38782,Зубная паста,9,1701,81542.29,88
HM,IVDU,DRTZC38782,Зубная паста,10,1980,97997.33999999998,88
HM,IVDU,DRTZC38782,Зубная паста,11,1652,80976.36000000003,88
HM,IVDU,DRTZC38782,Зубная паста,12,1944,94950.66,88
HM,IVDU,DRTZC38782,Зубная паста,13,1418,69025.9,88
HM,IVDU,DRTZC38782,Зубная паста,14,1569,76220.54999999999,88
HM,IVDU,DRTZC38782,Зубная паста,15,1764,85956.42000000001,87
HM,IVDU,DRTZC38782,Зубная паста,16,1893,91086.19,88
HM,IVDU,DRTZC38782,Зубная паста,17,1863,89904.25999999998,91
HM,IVDU,DRTZC38782,Зубная паста,18,1671,80329.27,89
HM,IVDU,DRTZC38782,Зубная паста,19,1528,74199.64,89
HM,IVDU,DRTZC38782,Зубная паста,20,1348,62531.10999999999,87
HM,IVDU,DRTZC38782,Зубная паста,21,1330,64622.05000000001,88
HM,IVDU,DRTZC38782,Зубная паста,22,1199,57332.86,85
HM,IVDU,DRTZC38782,Зубная паста,24,1277,60811.66,88
HM,IVDU,DRTZC38782,Зубная паста,25,1456,68315.93,89
HM,IVDU,DRTZC38782,Зубная паста,26,1058,51135.23,87
HM,IVDU,DRTZC38782,Зубная паста,27,1419,68004.32,91
HM,IVDU,DRTZC38782,Зубная паста,28,907,43427.73,77
HM,IVDU,DRTZC38782,Зубная паста,29,909,35408.5,58
HM,IVDU,DRTZC38782,Зубная паста,30,280,8314.56,27
HM,IVDU,DRTZC38782,Зубная паста,31,78,2423.65,9
HM,IVDU,DRTZC38782,Зубная паста,32,17,626.2,3
HM,IVDU,DRTZC38782,Зубная паста,33,1,19.89,1
HM,IVDU,DRTZC38782,Зубная паста,34,1,21.0,1
HM,IVDU,DRTZC38782,Зубная паста,37,1,29.9,1
HM,IVDU,DRTZC38782,Зубная паста,48,1,9.99,1
HM,IVDU,DRTZC38782,Зубная паста,52,1,9.99,1
HM,IVDU,PUVKV69686,Зубная паста,5,1653,96669.1,88
HM,IVDU,PUVKV69686,Зубная паста,6,1509,87964.9,87
HM,IVDU,PUVKV69686,Зубная паста,7,1737,98748.75,88
HM,IVDU,PUVKV69686,Зубная паста,8,1456,83774.56000000001,87
HM,IVDU,PUVKV69686,Зубная паста,9,1207,71826.70000000001,85
HM,IVDU,PUVKV69686,Зубная паста,10,1359,83344.56999999998,87
HM,IVDU,PUVKV69686,Зубная паста,11,1337,81149.83,88
HM,IVDU,PUVKV69686,Зубная паста,12,1717,103962.41,88
HM,IVDU,PUVKV69686,Зубная паста,13,1395,84504.72,88
HM,IVDU,PUVKV69686,Зубная паста,14,1476,88694.9,88
HM,IVDU,PUVKV69686,Зубная паста,15,1524,91168.37,87
HM,IVDU,PUVKV69686,Зубная паста,16,1582,93965.35,87
HM,IVDU,PUVKV69686,Зубная паста,17,1575,94222.6,90
HM,IVDU,PUVKV69686,Зубная паста,18,1376,81749.66,89
HM,IVDU,PUVKV69686,Зубная паста,19,1289,77408.93,89
HM,IVDU,PUVKV69686,Зубная паста,20,1189,69157.45999999999,87
HM,IVDU,PUVKV69686,Зубная паста,21,1094,65648.55,88
HM,IVDU,PUVKV69686,Зубная паста,22,1239,72863.67000000001,88
HM,IVDU,PUVKV69686,Зубная паста,24,1206,70499.92,89
HM,IVDU,PUVKV69686,Зубная паста,25,1450,84173.68,90
HM,IVDU,PUVKV69686,Зубная паста,26,1056,63689.51000000001,87
HM,IVDU,PUVKV69686,Зубная паста,27,1210,71464.88999999997,90
HM,IVDU,PUVKV69686,Зубная паста,28,541,32450.38,71
HM,IVDU,PUVKV69686,Зубная паста,29,371,18989.15,42
HM,IVDU,PUVKV69686,Зубная паста,30,43,1690.7199999999998,11
HM,IVDU,PUVKV69686,Зубная паста,31,18,537.5899999999998,5
HM,TUCE,AUCVV7115,Зубная паста,38,123,18213.01,37
HM,TUCE,AUCVV7115,Зубная паста,39,166,24886.72,41
HM,TUCE,AUCVV7115,Зубная паста,40,218,32116.22,47
HM,TUCE,AUCVV7115,Зубная паста,41,311,42909.85,48
HM,TUCE,AUCVV7115,Зубная паста,42,259,36060.96999999999,46
HM,TUCE,AUCVV7115,Зубная паста,43,202,30310.7,46
HM,TUCE,AUCVV7115,Зубная паста,44,248,35042.360000000015,49
HM,TUCE,AUCVV7115,Зубная паста,45,214,29702.200000000008,46
HM,TUCE,AUCVV7115,Зубная паста,46,201,25501.129999999994,41
HM,TUCE,AUCVV7115,Зубная паста,47,224,23802.750000000004,42
HM,TUCE,AUCVV7115,Зубная паста,48,170,21613.64000000001,39
HM,TUCE,AUCVV7115,Зубная паста,49,103,14163.519999999993,31
HM,TUCE,AUCVV7115,Зубная паста,50,413,47696.63000000001,34
HM,TUCE,AUCVV7115,Зубная паста,51,190,22289.09,27
HM,TUCE,AUCVV7115,Зубная паста,52,17,1954.35,7
HM,TUCE,AUCVV7115,Зубная паста,53,10,1438.39,5
HM,TUCE,AUCVV7115,Зубная паста,54,5,741.63,4
HM,TUCE,NEXVW9017,Зубная паста,5,2047,152842.89,90
HM,TUCE,NEXVW9017,Зубная паста,6,2025,149604.56,89
HM,TUCE,NEXVW9017,Зубная паста,7,2607,189120.29,89
HM,TUCE,NEXVW9017,Зубная паста,8,3331,232483.61,91
HM,TUCE,NEXVW9017,Зубная паста,9,4688,310923.9400000001,88
HM,TUCE,NEXVW9017,Зубная паста,10,2021,149046.33,89
HM,TUCE,NEXVW9017,Зубная паста,11,2216,160974.55,91
HM,TUCE,NEXVW9017,Зубная паста,12,2743,199683.6,91
HM,TUCE,NEXVW9017,Зубная паста,13,2193,158995.21000000002,90
HM,TUCE,NEXVW9017,Зубная паста,14,2525,181211.79,91
HM,TUCE,NEXVW9017,Зубная паста,15,2719,196323.31,90
HM,TUCE,NEXVW9017,Зубная паста,16,2921,209290.52,91
HM,TUCE,NEXVW9017,Зубная паста,17,2640,189257.88000000003,94
HM,TUCE,NEXVW9017,Зубная паста,18,2611,185633.10000000006,92
HM,TUCE,NEXVW9017,Зубная паста,19,7604,470909.44000000006,92
HM,TUCE,NEXVW9017,Зубная паста,20,2220,153877.32,88
HM,TUCE,NEXVW9017,Зубная паста,21,2469,177734.38,91
HM,TUCE,NEXVW9017,Зубная паста,22,2535,179242.21000000005,91
HM,TUCE,NEXVW9017,Зубная паста,24,13984,784905.64,93
HM,TUCE,NEXVW9017,Зубная паста,25,2417,166875.71,90
HM,TUCE,NEXVW9017,Зубная паста,26,2366,173534.75999999998,90
HM,TUCE,NEXVW9017,Зубная паста,27,2759,210045.63,96
HM,TUCE,NEXVW9017,Зубная паста,28,2076,156646.44000000006,94
HM,TUCE,NEXVW9017,Зубная паста,29,3240,228500.01,95
HM,TUCE,NEXVW9017,Зубная паста,30,7956,487678.77,95
HM,TUCE,NEXVW9017,Зубная паста,31,2476,179113.77999999997,93
HM,TUCE,NEXVW9017,Зубная паста,32,2502,183610.25,93
HM,TUCE,NEXVW9017,Зубная паста,33,3083,219472.98000000004,91
HM,TUCE,NEXVW9017,Зубная паста,34,2678,191766.03,91
HM,TUCE,NEXVW9017,Зубная паста,35,2053,163576.44,91
HM,TUCE,NEXVW9017,Зубная паста,36,10673,698664.97,93
HM,TUCE,NEXVW9017,Зубная паста,37,1942,157751.94999999998,93
HM,TUCE,NEXVW9017,Зубная паста,38,1682,141236.89,93
HM,TUCE,NEXVW9017,Зубная паста,39,1915,164378.84999999995,91
HM,TUCE,NEXVW9017,Зубная паста,40,7636,539441.54,91
HM,TUCE,NEXVW9017,Зубная паста,41,670,50034.45,59
HM,TUCE,NEXVW9017,Зубная паста,42,4820,324964.59,90
HM,TUCE,NEXVW9017,Зубная паста,43,7144,450041.76000000007,92
HM,TUCE,NEXVW9017,Зубная паста,44,1829,149459.72999999998,85
HM,TUCE,NEXVW9017,Зубная паста,45,1521,124366.77000000002,90
HM,TUCE,NEXVW9017,Зубная паста,46,7875,562272.8300000001,90
HM,TUCE,NEXVW9017,Зубная паста,47,1232,106626.34,88
HM,TUCE,NEXVW9017,Зубная паста,48,1546,132686.0700000001,84
HM,TUCE,NEXVW9017,Зубная паста,49,1072,92922.64999999998,76
HM,TUCE,NEXVW9017,Зубная паста,50,1206,106031.51,72
HM,TUCE,NEXVW9017,Зубная паста,51,1819,160340.1099999999,72
HM,TUCE,NEXVW9017,Зубная паста,52,1071,93407.71,69
HM,TUCE,NEXVW9017,Зубная паста,53,1648,128813.71999999994,70
HM,TUCE,NEXVW9017,Зубная паста,54,1899,139584.08000000002,62
HM,TUCE,SMSTX3292,Зубная паста,5,2599,193358.36,88
HM,TUCE,SMSTX3292,Зубная паста,6,2141,158684.61000000002,88
HM,TUCE,SMSTX3292,Зубная паста,7,2207,160285.49,82
HM,TUCE,SMSTX3292,Зубная паста,8,4486,311192.59,91
HM,TUCE,SMSTX3292,Зубная паста,9,4591,305474.6900000001,86
HM,TUCE,SMSTX3292,Зубная паста,10,2738,201963.24,89
HM,TUCE,SMSTX3292,Зубная паста,11,2709,197088.45,88
HM,TUCE,SMSTX3292,Зубная паста,12,3563,258445.69,90
HM,TUCE,SMSTX3292,Зубная паста,13,2902,210182.83,90
HM,TUCE,SMSTX3292,Зубная паста,14,3484,250024.36,91
HM,TUCE,SMSTX3292,Зубная паста,15,3885,280237.1,89
HM,TUCE,SMSTX3292,Зубная паста,16,4109,294254.38,91
HM,TUCE,SMSTX3292,Зубная паста,17,3738,267669.52,92
HM,TUCE,SMSTX3292,Зубная паста,18,3578,254486.40000000005,91
HM,TUCE,SMSTX3292,Зубная паста,19,8801,550071.1900000001,92
HM,TUCE,SMSTX3292,Зубная паста,20,3023,209804.13000000003,91
HM,TUCE,SMSTX3292,Зубная паста,21,3060,219017.25,94
HM,TUCE,SMSTX3292,Зубная паста,22,3216,226424.36,92
HM,TUCE,SMSTX3292,Зубная паста,24,15744,883710.31,93
HM,TUCE,SMSTX3292,Зубная паста,25,2889,202192.65,92
HM,TUCE,SMSTX3292,Зубная паста,26,3264,239589.16999999995,92
HM,TUCE,SMSTX3292,Зубная паста,27,3848,292355.3200000001,96
HM,TUCE,SMSTX3292,Зубная паста,28,2896,218740.25,94
HM,TUCE,SMSTX3292,Зубная паста,29,4461,316166.3,94
HM,TUCE,SMSTX3292,Зубная паста,30,9177,566256.7499999999,95
HM,TUCE,SMSTX3292,Зубная паста,31,3405,247512.73,95
HM,TUCE,SMSTX3292,Зубная паста,32,3620,265551.28,94
HM,TUCE,SMSTX3292,Зубная паста,33,4435,318027.49000000005,91
HM,TUCE,SMSTX3292,Зубная паста,34,3811,272334.87,89
HM,TUCE,SMSTX3292,Зубная паста,35,3881,279199.55,89
HM,TUCE,SMSTX3292,Зубная паста,36,13979,913351.9300000002,92
HM,TUCE,SMSTX3292,Зубная паста,37,3435,254738.63000000003,91
HM,TUCE,SMSTX3292,Зубная паста,38,3414,262179.22,90
HM,TUCE,SMSTX3292,Зубная паста,39,3974,304773.59999999986,89
HM,TUCE,SMSTX3292,Зубная паста,40,8352,590566.5800000002,90
HM,TUCE,SMSTX3292,Зубная паста,41,796,61998.40000000001,56
HM,TUCE,SMSTX3292,Зубная паста,42,6015,409297.31000000006,90
HM,TUCE,SMSTX3292,Зубная паста,43,8557,541269.8199999997,92
HM,TUCE,SMSTX3292,Зубная паста,44,2454,200202.63,87
HM,TUCE,SMSTX3292,Зубная паста,45,2001,163680.45999999993,89
HM,TUCE,SMSTX3292,Зубная паста,46,8666,619907.5399999999,90
HM,TUCE,SMSTX3292,Зубная паста,47,1531,130332.14,88
HM,TUCE,SMSTX3292,Зубная паста,48,2001,170546.81000000006,87
HM,TUCE,SMSTX3292,Зубная паста,49,1375,116997.89999999998,79
HM,TUCE,SMSTX3292,Зубная паста,50,1689,147071.15999999995,72
HM,TUCE,SMSTX3292,Зубная паста,51,2265,197887.89000000013,72
HM,TUCE,SMSTX3292,Зубная паста,52,1351,117399.01999999992,71
HM,TUCE,SMSTX3292,Зубная паста,53,2208,173205.49999999994,68
HM,TUCE,SMSTX3292,Зубная паста,54,2089,153945.74999999994,62
HM,TUCE,DZNWE9612,Зубная паста,14,4425,518514.31,88
HM,TUCE,DZNWE9612,Зубная паста,15,780,90569.95,52
HM,TUCE,DZNWE9612,Зубная паста,16,78,9011.29,9
HM,TUCE,DZNWE9612,Зубная паста,17,10,1188.85,1
HM,TUCE,DZNWE9612,Зубная паста,18,63,7205.02,3
HM,TUCE,DZNWE9612,Зубная паста,19,12,1386.73,3
HM,TUCE,DZNWE9612,Зубная паста,20,9,982.68,1
HM,TUCE,DZNWE9612,Зубная паста,21,2,228.7,2
HM,TUCE,DZNWE9612,Зубная паста,37,1,119.0,1
HM,TUCE,DZNWE9612,Зубная паста,38,613,102730.32999999996,81
HM,TUCE,DZNWE9612,Зубная паста,39,1055,177272.47999999995,84
HM,TUCE,DZNWE9612,Зубная паста,40,1043,168263.69999999998,85
HM,TUCE,DZNWE9612,Зубная паста,41,648,93591.63,78
HM,TUCE,DZNWE9612,Зубная паста,42,1400,212687.34,85
HM,TUCE,DZNWE9612,Зубная паста,43,1309,200833.57,86
HM,TUCE,DZNWE9612,Зубная паста,44,1364,208842.65,85
HM,TUCE,DZNWE9612,Зубная паста,45,1322,202455.48,85
HM,TUCE,DZNWE9612,Зубная паста,46,1379,211690.52,85
HM,TUCE,DZNWE9612,Зубная паста,47,1237,190917.25000000003,82
HM,TUCE,DZNWE9612,Зубная паста,48,1248,190140.6800000001,75
HM,TUCE,DZNWE9612,Зубная паста,49,865,140740.06999999998,64
HM,TUCE,DZNWE9612,Зубная паста,50,946,155529.86999999994,63
HM,TUCE,DZNWE9612,Зубная паста,51,1138,187197.55999999988,62
HM,TUCE,DZNWE9612,Зубная паста,52,705,114885.43000000002,58
HM,TUCE,DZNWE9612,Зубная паста,53,736,117367.96999999994,56
HM,TUCE,DZNWE9612,Зубная паста,54,540,88426.29999999997,48
HM,TUCE,OJGWC4026,Зубные щетки,5,1601,121536.27,85
HM,TUCE,OJGWC4026,Зубные щетки,6,1421,105018.87,85
HM,TUCE,OJGWC4026,Зубные щетки,7,1762,128929.03,82
HM,TUCE,OJGWC4026,Зубные щетки,8,1798,133799.57,83
HM,TUCE,OJGWC4026,Зубные щетки,9,1544,114760.13,82
HM,TUCE,OJGWC4026,Зубные щетки,10,1689,125476.92,84
HM,TUCE,OJGWC4026,Зубные щетки,11,1446,107311.03,86
HM,TUCE,OJGWC4026,Зубные щетки,12,1625,120943.24,88
HM,TUCE,OJGWC4026,Зубные щетки,13,1368,101594.03000000004,87
