global_max_products,global_max_difference_products,global_max_all_price,global_max_difference_all_price,global_max_shops,global_max_difference_shops,global_max_price,global_max_difference_price,global_min_products,global_min_difference_products,global_min_all_price,global_min_difference_all_price,global_min_shops,global_min_difference_shops,global_min_price,global_min_difference_price,difference_left_products,difference_left_difference_products,difference_left_all_price,difference_left_difference_all_price,difference_left_shops,difference_left_difference_shops,difference_left_price,difference_left_difference_price,difference_right_products,difference_right_difference_products,difference_right_all_price,difference_right_difference_all_price,difference_right_shops,difference_right_difference_shops,difference_right_price,difference_right_difference_price,local_min_products,local_min_difference_products,local_min_all_price,local_min_difference_all_price,local_min_shops,local_min_difference_shops,local_min_price,local_min_difference_price,local_max_products,local_max_difference_products,local_max_all_price,local_max_difference_all_price,local_max_shops,local_max_difference_shops,local_max_price,local_max_difference_price,month
3,3,1,3,2,2,3,4,6,7,6,7,5,6,7,8,1304.3333333333333,-13.677290836653386,756.8900138748264,-15.608718507907449,92.0,-4.928571428571429,1.1316539091965179,1.0,1,3,1,4,1,2,2,2,6.8769771528998245,-1.0771885786005648,4.34112060737877,-1.182672445221274,1.0823529411764705,-13.8,1.8635448902521137,-2.3087587671288414,7,8,7,8,6,7,6,8,26
1,1,1,1,1,2,1,3,3,5,3,5,2,3,3,6,856.0,-64.33333333333333,785.692323397305,-56.477678808591996,74.0,-7.5,1.2759289505920783,-1.2121273989383423,0,2,0,3,0,2,3,1,856.0,-0.45146198830409356,625.7941296040328,-0.4150453721287557,74.0,-0.2054794520547945,1.6699846349121517,-0.9499959996799744,1,5,2,5,1,3,3,5,15
2,2,2,2,2,3,2,2,1,2,1,2,1,2,2,2,151.61290322580646,-462.375,154.12670533480366,-545.9686564483296,90.0,37.0,1.0460911528094177,1.0,2,2,2,2,0,1,2,4,4700.0,-0.8299304464886695,9445.248264597796,-0.8144093562550866,90.0,-0.6379310344827587,2.0096272903399566,-1.549458793018355,1,2,1,2,0,1,1,2,7
1,1,1,1,0,1,6,7,8,8,7,8,4,6,8,11,42.62,-0.9158215010141988,29.494446797532603,-0.8223612293700636,10.333333333333334,-1.0576923076923077,1.3644711382359256,-5.699073294498856,1,3,2,2,1,2,3,6,41.78431372549019,-0.9125821121778676,37.54587822404344,-0.887301852243377,1.0,-0.5913978494623656,1.588638314892501,-0.42434962429667583,8,8,7,8,4,7,8,10,28
6,5,6,4,5,2,5,2,17,17,17,17,10,13,14,18,5.914769719428269,-4.071674311926605,4.445514266888071,-3.5607823580605604,1.507936507936508,4.5,1.2486140729811281,-1.0143972128843066,4,4,4,5,0,4,2,6,2.9946395068346288,-1.2619513062022392,2.3115546508615514,-1.4983344829677951,1.1046511627906976,-1.8,1.4765107621765288,-6.253345297879937,18,18,18,18,8,13,14,17,49
0,1,0,1,0,1,9,3,8,8,8,8,5,6,7,9,301.8888888888889,-1.5460440985732815,271.32250791518766,-1.4785529919046028,47.0,-1.8095238095238095,1.342401419936679,2.509956971960841,0,7,0,7,0,5,2,7,1.0,-0.8774383511225616,1.0,-0.8406887371952102,1.0,-0.40425531914893614,1.4936323426371585,-0.2724340252429769,8,8,8,8,5,6,6,8,28
2,4,2,3,4,4,7,3,9,9,9,10,7,9,11,13,3417.0,-1.7358044164037856,3121.53587952463,-1.1050633827914822,96.0,31.0,1.3649978252745352,1.0,1,5,1,5,0,1,3,5,3.696051919956733,-0.90988011575031,2.9160986724677858,-0.9176983095195532,1.0909090909090908,-5.166666666666667,1.5463390127048788,-3.248704689155541,9,9,9,10,4,7,12,14,37
3,3,3,3,3,5,0,1,12,13,11,14,6,13,13,18,753.0,-33.94736842105263,1329.3230923120893,-26.821394336520875,96.0,-11.0,2.950880088739162,-1.168945236802879,0,4,0,5,0,3,2,2,3.2668112798264644,-0.6965442764578834,2.8569217818641146,-0.5550132286413261,1.4328358208955223,-0.5238095238095238,1.0,6.922756477554047,10,14,10,15,7,14,13,18,49
6,2,6,3,4,5,0,4,2,4,2,4,1,2,1,4,3.5857385398981325,-3.382636655948553,2.5768936377346607,-4.096308803228203,1.5081967213114753,-10.0,1.874135587541147,-0.7850246298052989,6,3,3,4,1,4,3,2,124.23529411764706,-1.2813641900121802,66.28938425988855,-1.1002154514697995,10.222222222222221,-0.1724137931034483,1.0,-0.1492289545507667,1,4,1,4,1,3,2,3,14
3,4,2,3,4,5,8,4,16,18,17,17,7,11,16,17,5.351685393258427,-1.0917673716012084,3.739710146762371,-1.1511181473687873,1.6271186440677967,1.0,1.5390706763584667,-0.9631671743535214,4,3,3,6,0,4,2,3,2.40798786653185,-1.13328106624853,2.0717563136403125,-1.0502403504480864,1.1566265060240963,-0.875,1.5233568006760925,-1.012351137724648,15,18,16,17,8,8,17,17,49
