iter	Passed	Remaining
0	9	1958
1	19	1905
2	26	1755
3	35	1717
4	42	1651
5	51	1653
6	58	1611
7	67	1619
8	75	1605
9	83	1589
10	91	1565
11	99	1562
12	109	1571
13	117	1556
14	125	1541
15	132	1525
16	141	1519
17	150	1520
18	157	1501
19	164	1482
20	172	1470
21	181	1470
22	189	1455
23	196	1440
24	204	1431
25	214	1438
26	223	1433
27	231	1422
28	239	1409
29	247	1401
30	256	1400
31	265	1392
32	271	1376
33	280	1368
34	289	1364
35	298	1358
36	305	1344
37	313	1334
38	320	1321
39	327	1311
40	334	1299
41	342	1287
42	349	1277
43	356	1264
44	364	1255
45	371	1244
46	381	1241
47	390	1236
48	397	1225
49	404	1214
50	413	1208
51	420	1197
52	428	1189
53	436	1180
54	445	1174
55	452	1164
56	460	1154
57	468	1146
58	475	1135
59	484	1130
60	494	1125
61	501	1115
62	508	1105
63	515	1096
64	523	1086
65	530	1076
66	537	1066
67	545	1058
68	552	1048
69	560	1040
70	567	1031
71	575	1022
72	583	1014
73	590	1004
74	597	996
75	605	987
76	613	980
77	622	973
78	630	965
79	638	957
80	646	950
81	654	942
82	662	933
83	669	924
84	677	917
85	685	908
86	694	901
87	701	893
88	709	884
89	717	876
90	724	867
91	733	860
92	740	851
93	749	845
94	758	838
95	767	831
96	774	822
97	782	814
98	789	805
99	796	796
100	803	787
101	811	779
102	819	771
103	827	763
104	834	755
105	843	747
106	850	738
107	858	731
108	865	722
109	872	713
110	879	705
111	887	697
112	895	689
113	902	680
114	909	672
115	916	663
116	923	654
117	931	647
118	938	638
119	947	631
120	954	623
121	963	616
122	973	609
123	981	601
124	988	592
125	996	585
126	1004	577
127	1012	569
128	1019	561
129	1027	553
130	1034	544
131	1042	537
132	1050	529
133	1057	521
134	1065	513
135	1073	505
136	1080	496
137	1087	488
138	1094	480
139	1102	472
140	1110	464
141	1118	456
142	1125	448
143	1133	440
144	1142	433
145	1149	425
146	1157	417
147	1164	409
148	1171	400
149	1179	393
150	1186	384
151	1193	376
152	1200	368
153	1208	361
154	1217	353
155	1224	345
156	1231	337
157	1238	329
158	1246	321
159	1253	313
160	1262	305
161	1272	298
162	1279	290
163	1285	282
164	1293	274
165	1300	266
166	1308	258
167	1314	250
168	1321	242
169	1330	234
170	1337	226
171	1344	218
172	1352	211
173	1362	203
174	1371	195
175	1378	188
176	1385	180
177	1393	172
178	1401	164
179	1409	156
180	1416	148
181	1424	140
182	1431	132
183	1440	125
184	1450	117
185	1459	109
186	1466	101
187	1474	94
188	1481	86
189	1489	78
190	1495	70
191	1503	62
192	1510	54
193	1516	46
194	1523	39
195	1531	31
196	1539	23
197	1546	15
198	1554	7
199	1563	0
